20200309072829,10.0.0.2,49331,10.0.0.1,5001,3,0.0-1.0,1441792,11534336
20200309072830,10.0.0.2,49331,10.0.0.1,5001,3,1.0-2.0,1179648,9437184
20200309072831,10.0.0.2,49331,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20200309072832,10.0.0.2,49331,10.0.0.1,5001,3,3.0-4.0,1310720,10485760
20200309072833,10.0.0.2,49331,10.0.0.1,5001,3,4.0-5.0,1179648,9437184
20200309072834,10.0.0.2,49331,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20200309072835,10.0.0.2,49331,10.0.0.1,5001,3,6.0-7.0,1179648,9437184
20200309072836,10.0.0.2,49331,10.0.0.1,5001,3,7.0-8.0,1179648,9437184
20200309072837,10.0.0.2,49331,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20200309072838,10.0.0.2,49331,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20200309072839,10.0.0.2,49331,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20200309072840,10.0.0.2,49331,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20200309072841,10.0.0.2,49331,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20200309072842,10.0.0.2,49331,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20200309072843,10.0.0.2,49331,10.0.0.1,5001,3,14.0-15.0,1179648,9437184
20200309072844,10.0.0.2,49331,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20200309072845,10.0.0.2,49331,10.0.0.1,5001,3,16.0-17.0,1179648,9437184
20200309072846,10.0.0.2,49331,10.0.0.1,5001,3,17.0-18.0,1179648,9437184
20200309072847,10.0.0.2,49331,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20200309072848,10.0.0.2,49331,10.0.0.1,5001,3,19.0-20.0,1179648,9437184
20200309072849,10.0.0.2,49331,10.0.0.1,5001,3,20.0-21.0,1048576,8388608
20200309072850,10.0.0.2,49331,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20200309072851,10.0.0.2,49331,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20200309072852,10.0.0.2,49331,10.0.0.1,5001,3,23.0-24.0,1310720,10485760
20200309072853,10.0.0.2,49331,10.0.0.1,5001,3,24.0-25.0,1179648,9437184
20200309072854,10.0.0.2,49331,10.0.0.1,5001,3,25.0-26.0,1179648,9437184
20200309072855,10.0.0.2,49331,10.0.0.1,5001,3,26.0-27.0,1179648,9437184
20200309072856,10.0.0.2,49331,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
20200309072857,10.0.0.2,49331,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20200309072858,10.0.0.2,49331,10.0.0.1,5001,3,29.0-30.0,1179648,9437184
20200309072859,10.0.0.2,49331,10.0.0.1,5001,3,30.0-31.0,1048576,8388608
20200309072900,10.0.0.2,49331,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20200309072901,10.0.0.2,49331,10.0.0.1,5001,3,32.0-33.0,1179648,9437184
20200309072902,10.0.0.2,49331,10.0.0.1,5001,3,33.0-34.0,1310720,10485760
20200309072903,10.0.0.2,49331,10.0.0.1,5001,3,34.0-35.0,1179648,9437184
20200309072904,10.0.0.2,49331,10.0.0.1,5001,3,35.0-36.0,1179648,9437184
20200309072905,10.0.0.2,49331,10.0.0.1,5001,3,36.0-37.0,1179648,9437184
20200309072906,10.0.0.2,49331,10.0.0.1,5001,3,37.0-38.0,1179648,9437184
20200309072907,10.0.0.2,49331,10.0.0.1,5001,3,38.0-39.0,1179648,9437184
20200309072908,10.0.0.2,49331,10.0.0.1,5001,3,39.0-40.0,1179648,9437184
20200309072909,10.0.0.2,49331,10.0.0.1,5001,3,40.0-41.0,1048576,8388608
20200309072910,10.0.0.2,49331,10.0.0.1,5001,3,41.0-42.0,1179648,9437184
20200309072911,10.0.0.2,49331,10.0.0.1,5001,3,42.0-43.0,1179648,9437184
20200309072912,10.0.0.2,49331,10.0.0.1,5001,3,43.0-44.0,1179648,9437184
20200309072913,10.0.0.2,49331,10.0.0.1,5001,3,44.0-45.0,1310720,10485760
20200309072914,10.0.0.2,49331,10.0.0.1,5001,3,45.0-46.0,1179648,9437184
20200309072915,10.0.0.2,49331,10.0.0.1,5001,3,46.0-47.0,1179648,9437184
20200309072916,10.0.0.2,49331,10.0.0.1,5001,3,47.0-48.0,1179648,9437184
20200309072917,10.0.0.2,49331,10.0.0.1,5001,3,48.0-49.0,1048576,8388608
20200309072918,10.0.0.2,49331,10.0.0.1,5001,3,49.0-50.0,1179648,9437184
20200309072919,10.0.0.2,49331,10.0.0.1,5001,3,50.0-51.0,1179648,9437184
20200309072920,10.0.0.2,49331,10.0.0.1,5001,3,51.0-52.0,1179648,9437184
20200309072921,10.0.0.2,49331,10.0.0.1,5001,3,52.0-53.0,1179648,9437184
20200309072922,10.0.0.2,49331,10.0.0.1,5001,3,53.0-54.0,1179648,9437184
20200309072923,10.0.0.2,49331,10.0.0.1,5001,3,54.0-55.0,1310720,10485760
20200309072924,10.0.0.2,49331,10.0.0.1,5001,3,55.0-56.0,1179648,9437184
20200309072925,10.0.0.2,49331,10.0.0.1,5001,3,56.0-57.0,1179648,9437184
20200309072926,10.0.0.2,49331,10.0.0.1,5001,3,57.0-58.0,1048576,8388608
